(12646, 13973)
(12646, 15245)
(12646, 15587)
(12646, 15840)
(12646, 16303)
(12646, 16359)
(12646, 16542)
(12646, 17200)
(12646, 19125)
(12646, 19341)
(12646, 20645)
(12646, 22522)
(12646, 22693)
(12646, 23670)
(12646, 24283)
(12646, 24601)
(12646, 24901)
(12646, 25857)
(12646, 25984)
(12646, 27272)
(12646, 28143)
(12646, 28291)
(12646, 28302)
(12646, 28483)
(12646, 28926)
(12646, 29327)
(12646, 29992)
(12646, 30104)
(12646, 30250)
(12646, 31080)
(12646, 31260)
(12646, 31272)
(12646, 32228)
(12646, 32618)
(12646, 33229)
(12646, 33399)
(12646, 33850)
(12646, 34402)
(12646, 35167)
(12646, 35292)
(12646, 35431)
(12646, 35782)
(12646, 38212)
(12646, 39909)
(12646, 40719)
(12646, 41798)
(12646, 42371)
(12646, 42744)
(12646, 44166)
(12646, 44430)
(12646, 44436)
(12646, 46842)
(12646, 47450)
(12646, 48599)
(12646, 49471)
(12646, 49520)
(12646, 49674)
(12646, 49701)
(12646, 50169)
(12646, 50411)
(12646, 50786)
(12646, 52029)
(12646, 52740)
(12646, 53594)
(12646, 54170)
(12646, 54220)
(12646, 54707)
(12646, 55555)
(12646, 55798)
(12646, 56758)
(12646, 57521)
(12646, 57712)
(12646, 58322)
(12646, 60482)
(12646, 61243)
(12646, 61860)
(12646, 63633)
(12646, 64700)
(12646, 64861)
(12646, 65958)
(12646, 66275)
(12646, 66872)
(12646, 68044)
(12646, 68170)
(12646, 70641)
(12646, 71120)
(12646, 72122)
(12646, 72408)
(12646, 73001)
(12646, 73131)
(12646, 76522)
(12646, 76575)
(12646, 78106)
(12646, 79384)
(12646, 81731)
(12646, 81993)
(12646, 82221)
(12646, 84104)
(12646, 85265)
(12646, 88269)
(12646, 88609)
(12646, 89570)
(12646, 90068)
(12646, 90115)
(12646, 90314)
(12646, 90398)
(12646, 90415)
(12646, 91466)
(12646, 91858)
(12646, 92935)
(12646, 94024)
(12646, 95144)
(12646, 95496)
(12646, 95871)
(12646, 97625)
(13973, 15245)
(13973, 15587)
(13973, 15840)
(13973, 16303)
(13973, 16359)
(13973, 16542)
(13973, 17200)
(13973, 19125)
(13973, 19341)
(13973, 20645)
(13973, 22522)
(13973, 22693)
(13973, 23670)
(13973, 24283)
(13973, 24601)
(13973, 24901)
(13973, 25857)
(13973, 25984)
(13973, 27272)
(13973, 28143)
(13973, 28291)
(13973, 28302)
(13973, 28483)
(13973, 28926)
(13973, 29327)
(13973, 29992)
(13973, 30104)
(13973, 30250)
(13973, 31080)
(13973, 31260)
(13973, 31272)
(13973, 32228)
(13973, 32618)
(13973, 33229)
(13973, 33399)
(13973, 33850)
(13973, 34402)
(13973, 35167)
(13973, 35292)
(13973, 35431)
(13973, 35782)
(13973, 38212)
(13973, 39909)
(13973, 40719)
(13973, 41798)
(13973, 42371)
(13973, 42744)
(13973, 44166)
